[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
    [zh] fold 1 setup 2.3s (arena=False draws=71)
    [zh] fold 1 draw 129 8.0s
    [zh] fold 1 draw 130 6.7s
    [zh] fold 1 draw 131 7.1s
    [zh] fold 1 draw 132 6.9s
    [zh] fold 1 draw 133 6.9s
    [zh] fold 1 draw 134 6.8s
    [zh] fold 1 draw 135 6.7s
    [zh] fold 1 draw 136 6.7s
    [zh] fold 1 draw 137 6.7s
[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
    [zh] fold 1 setup 2.3s (arena=False draws=62)
    [zh] fold 1 draw 138 8.1s
    [zh] fold 1 draw 139 6.8s
    [zh] fold 1 draw 140 7.0s
    [zh] fold 1 draw 141 7.2s
    [zh] fold 1 draw 142 7.1s
    [zh] fold 1 draw 143 6.8s
    [zh] fold 1 draw 144 6.7s
    [zh] fold 1 draw 145 6.7s
    [zh] fold 1 draw 146 6.8s
[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
    [zh] fold 1 setup 2.1s (arena=False draws=53)
    [zh] fold 1 draw 147 8.6s
    [zh] fold 1 draw 148 6.8s
    [zh] fold 1 draw 149 6.9s
    [zh] fold 1 draw 150 7.0s
    [zh] fold 1 draw 151 6.8s
    [zh] fold 1 draw 152 7.1s
    [zh] fold 1 draw 153 7.1s
    [zh] fold 1 draw 154 6.9s
    [zh] fold 1 draw 155 6.9s
    [zh] fold 1 draw 156 7.2s
    [zh] fold 1 draw 157 7.0s
    [zh] fold 1 draw 158 6.8s
    [zh] fold 1 draw 159 6.9s
    [zh] fold 1 draw 160 6.8s
    [zh] fold 1 draw 161 6.8s
    [zh] fold 1 draw 162 6.9s
    [zh] fold 1 draw 163 6.8s
    [zh] fold 1 draw 164 6.8s
    [zh] fold 1 draw 165 6.7s
    [zh] fold 1 draw 166 6.7s
    [zh] fold 1 draw 167 6.8s
    [zh] fold 1 draw 168 6.8s
    [zh] fold 1 draw 169 6.7s
    [zh] fold 1 draw 170 6.7s
    [zh] fold 1 draw 171 6.8s
    [zh] fold 1 draw 172 6.8s
    [zh] fold 1 draw 173 6.7s
    [zh] fold 1 draw 174 7.5s
    [zh] fold 1 draw 175 6.8s
    [zh] fold 1 draw 176 6.7s
    [zh] fold 1 draw 177 6.6s
    [zh] fold 1 draw 178 6.7s
    [zh] fold 1 draw 179 6.8s
    [zh] fold 1 draw 180 6.8s
    [zh] fold 1 draw 181 6.7s
    [zh] fold 1 draw 182 6.7s
    [zh] fold 1 draw 183 6.8s
    [zh] fold 1 draw 184 6.8s
    [zh] fold 1 draw 185 7.1s
    [zh] fold 1 draw 186 7.1s
    [zh] fold 1 draw 187 8.0s
[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
    [zh] fold 1 setup 2.3s (arena=False draws=12)
    [zh] fold 1 draw 188 8.0s
    [zh] fold 1 draw 189 6.8s
    [zh] fold 1 draw 190 6.7s
    [zh] fold 1 draw 191 6.9s
    [zh] fold 1 draw 192 7.0s
    [zh] fold 1 draw 193 7.0s
    [zh] fold 1 draw 194 6.9s
    [zh] fold 1 draw 195 6.9s
    [zh] fold 1 draw 196 6.8s
    [zh] fold 1 draw 197 6.7s
    [zh] fold 1 draw 198 6.7s
    [zh] fold 1 draw 199 6.7s
    [zh] fold 2 setup 2.2s (arena=False draws=200)
    [zh] fold 2 draw 0 6.8s
    [zh] fold 2 draw 1 6.8s
    [zh] fold 2 draw 2 6.8s
    [zh] fold 2 draw 3 6.9s
    [zh] fold 2 draw 4 6.8s
    [zh] fold 2 draw 5 7.0s
    [zh] fold 2 draw 6 6.8s
    [zh] fold 2 draw 7 7.0s
[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
    [zh] fold 2 setup 2.3s (arena=False draws=192)
    [zh] fold 2 draw 8 7.8s
    [zh] fold 2 draw 9 6.8s
    [zh] fold 2 draw 10 6.8s
    [zh] fold 2 draw 11 6.8s
    [zh] fold 2 draw 12 6.9s
    [zh] fold 2 draw 13 6.8s
    [zh] fold 2 draw 14 6.8s
    [zh] fold 2 draw 15 6.8s
    [zh] fold 2 draw 16 6.8s
    [zh] fold 2 draw 17 6.9s
[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
    [zh] fold 2 setup 2.2s (arena=False draws=182)
    [zh] fold 2 draw 18 7.8s
    [zh] fold 2 draw 19 6.8s
    [zh] fold 2 draw 20 6.9s
    [zh] fold 2 draw 21 6.7s
    [zh] fold 2 draw 22 6.8s
    [zh] fold 2 draw 23 6.7s
    [zh] fold 2 draw 24 6.9s
    [zh] fold 2 draw 25 6.8s
    [zh] fold 2 draw 26 7.0s
    [zh] fold 2 draw 27 7.0s
    [zh] fold 2 draw 28 6.9s
    [zh] fold 2 draw 29 6.7s
    [zh] fold 2 draw 30 6.7s
    [zh] fold 2 draw 31 6.7s
    [zh] fold 2 draw 32 6.8s
    [zh] fold 2 draw 33 6.8s
    [zh] fold 2 draw 34 6.8s
    [zh] fold 2 draw 35 6.7s
    [zh] fold 2 draw 36 6.8s
    [zh] fold 2 draw 37 7.1s
[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
    [zh] fold 2 setup 2.2s (arena=False draws=162)
    [zh] fold 2 draw 38 7.9s
    [zh] fold 2 draw 39 6.9s
    [zh] fold 2 draw 40 6.8s
    [zh] fold 2 draw 41 6.8s
    [zh] fold 2 draw 42 6.7s
    [zh] fold 2 draw 43 6.7s
    [zh] fold 2 draw 44 6.7s
    [zh] fold 2 draw 45 6.7s
    [zh] fold 2 draw 46 6.7s
    [zh] fold 2 draw 47 6.7s
[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
    [zh] fold 2 setup 2.3s (arena=False draws=152)
    [zh] fold 2 draw 48 7.8s
    [zh] fold 2 draw 49 6.7s
    [zh] fold 2 draw 50 6.8s
    [zh] fold 2 draw 51 6.7s
    [zh] fold 2 draw 52 6.7s
    [zh] fold 2 draw 53 6.7s
    [zh] fold 2 draw 54 6.7s
    [zh] fold 2 draw 55 6.7s
    [zh] fold 2 draw 56 6.7s
    [zh] fold 2 draw 57 6.7s
    [zh] fold 2 draw 58 6.7s
    [zh] fold 2 draw 59 6.7s
    [zh] fold 2 draw 60 6.8s
    [zh] fold 2 draw 61 6.7s
    [zh] fold 2 draw 62 6.8s
    [zh] fold 2 draw 63 6.8s
    [zh] fold 2 draw 64 6.8s
    [zh] fold 2 draw 65 6.8s
    [zh] fold 2 draw 66 6.8s
    [zh] fold 2 draw 67 6.8s
    [zh] fold 2 draw 68 6.8s
[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
    [zh] fold 2 setup 2.2s (arena=False draws=131)
    [zh] fold 2 draw 69 8.2s
    [zh] fold 2 draw 70 7.0s
    [zh] fold 2 draw 71 6.8s
    [zh] fold 2 draw 72 6.8s
    [zh] fold 2 draw 73 6.8s
    [zh] fold 2 draw 74 6.8s
    [zh] fold 2 draw 75 6.8s
    [zh] fold 2 draw 76 6.8s
    [zh] fold 2 draw 77 6.8s
    [zh] fold 2 draw 78 6.7s
[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
    [zh] fold 2 setup 2.2s (arena=False draws=121)
    [zh] fold 2 draw 79 7.9s
    [zh] fold 2 draw 80 6.8s
    [zh] fold 2 draw 81 6.8s
    [zh] fold 2 draw 82 7.1s
    [zh] fold 2 draw 83 7.1s
    [zh] fold 2 draw 84 7.0s
    [zh] fold 2 draw 85 7.1s
    [zh] fold 2 draw 86 7.2s
    [zh] fold 2 draw 87 6.9s
    [zh] fold 2 draw 88 6.7s
    [zh] fold 2 draw 89 6.8s
    [zh] fold 2 draw 90 6.7s
    [zh] fold 2 draw 91 6.6s
    [zh] fold 2 draw 92 6.6s
    [zh] fold 2 draw 93 6.9s
    [zh] fold 2 draw 94 6.9s
    [zh] fold 2 draw 95 6.9s
    [zh] fold 2 draw 96 6.8s
    [zh] fold 2 draw 97 6.7s
    [zh] fold 2 draw 98 6.6s
    [zh] fold 2 draw 99 6.7s
    [zh] fold 2 draw 100 6.7s
    [zh] fold 2 draw 101 6.7s
    [zh] fold 2 draw 102 6.7s
    [zh] fold 2 draw 103 6.7s
    [zh] fold 2 draw 104 6.7s
    [zh] fold 2 draw 105 6.7s
    [zh] fold 2 draw 106 6.8s
    [zh] fold 2 draw 107 6.7s
    [zh] fold 2 draw 108 6.6s
[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
    [zh] fold 2 setup 2.3s (arena=False draws=91)
    [zh] fold 2 draw 109 8.0s
    [zh] fold 2 draw 110 6.8s
    [zh] fold 2 draw 111 6.7s
