[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 1 draw 41 6.0s
    [en] fold 1 draw 42 6.1s
    [en] fold 1 draw 43 6.0s
    [en] fold 1 draw 44 6.1s
    [en] fold 1 draw 45 6.1s
    [en] fold 1 draw 46 6.0s
    [en] fold 1 draw 47 6.0s
    [en] fold 1 draw 48 6.1s
    [en] fold 1 draw 49 6.1s
    [en] fold 1 draw 50 6.0s
    [en] fold 1 draw 51 6.0s
    [en] fold 1 draw 52 6.1s
    [en] fold 1 draw 53 6.1s
    [en] fold 1 draw 54 6.1s
    [en] fold 1 draw 55 6.2s
    [en] fold 1 draw 56 6.1s
    [en] fold 1 draw 57 6.1s
    [en] fold 1 draw 58 6.4s
    [en] fold 1 draw 59 6.2s
    [en] fold 1 draw 60 6.1s
    [en] fold 1 draw 61 6.1s
    [en] fold 1 draw 62 6.2s
    [en] fold 1 draw 63 6.2s
    [en] fold 1 draw 64 6.2s
    [en] fold 1 draw 65 6.2s
    [en] fold 1 draw 66 6.0s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 1 setup 1.9s (arena=False draws=133)
    [en] fold 1 draw 67 7.4s
    [en] fold 1 draw 68 6.3s
    [en] fold 1 draw 69 6.1s
    [en] fold 1 draw 70 6.1s
    [en] fold 1 draw 71 6.2s
    [en] fold 1 draw 72 6.1s
    [en] fold 1 draw 73 6.2s
    [en] fold 1 draw 74 6.2s
    [en] fold 1 draw 75 6.1s
    [en] fold 1 draw 76 6.2s
    [en] fold 1 draw 77 6.2s
    [en] fold 1 draw 78 6.1s
    [en] fold 1 draw 79 6.1s
    [en] fold 1 draw 80 6.1s
    [en] fold 1 draw 81 6.1s
    [en] fold 1 draw 82 6.2s
    [en] fold 1 draw 83 6.6s
    [en] fold 1 draw 84 6.3s
    [en] fold 1 draw 85 6.2s
    [en] fold 1 draw 86 6.1s
    [en] fold 1 draw 87 6.2s
    [en] fold 1 draw 88 6.2s
    [en] fold 1 draw 89 6.1s
    [en] fold 1 draw 90 6.2s
    [en] fold 1 draw 91 6.2s
    [en] fold 1 draw 92 6.2s
    [en] fold 1 draw 93 6.0s
    [en] fold 1 draw 94 6.1s
    [en] fold 1 draw 95 6.1s
    [en] fold 1 draw 96 6.3s
    [en] fold 1 draw 97 6.2s
    [en] fold 1 draw 98 6.1s
    [en] fold 1 draw 99 6.1s
    [en] fold 1 draw 100 6.1s
    [en] fold 1 draw 101 6.1s
    [en] fold 1 draw 102 6.0s
